# MJD residual_us
5.373647222465067898e+04 3.303539692670078853e+00
5.373647222465184313e+04 2.626792800649699444e+00
5.373847418016308802e+04 -8.945449086211243461e-01
5.373847418017028394e+04 -1.249386373107084891e+00
5.373847418017152086e+04 3.428721576348173761e-01
5.373847418017404561e+04 6.898196477652799308e-01
5.373847418017921882e+04 9.364697603429544825e-01
5.373847418018423923e+04 4.743336741162337056e+00
5.373847418018558528e+04 -1.214605389422866444e-01
5.373847418018755707e+04 -1.120216160234405622e+00
5.373847418019772886e+04 -4.605657055854442961e-01
5.373847418019865290e+04 2.199436789398370173e+00
5.373847418020612531e+04 5.418915612605068599e-01
5.373847418021048361e+04 1.116860417507032688e+00
5.373848459942016052e+04 1.675938023306182467e+00
5.373848459942734917e+04 3.421404370020842967e-01
5.373848459942853515e+04 -2.359699261218076050e+00
5.373848459943106718e+04 -7.047624019239534521e-01
5.373848459943624039e+04 -8.543260992548389332e-01
5.373848459944126080e+04 2.684455658686783597e+00
5.373848459944263595e+04 6.187394446536719217e-01
5.373848459944462957e+04 1.511292272462938735e+00
5.373848459945475042e+04 -2.151150272410776054e+00
5.373848459945567447e+04 3.156263246630071073e-01
5.373848459946315415e+04 -7.471419392763161138e-01
5.373848459946746880e+04 -3.885543383941808315e+00
5.376641093993464892e+04 2.026079258806110062e+00
5.376641093994182302e+04 1.427695342306317672e+00
5.376641093994302355e+04 -2.976384802037178812e+00
5.376641093994555558e+04 -2.331555414119132752e-01
5.376641093995074334e+04 2.901538381686190049e-01
5.376641093995713163e+04 2.362980655076281078e+00
5.376641093995911069e+04 4.632531144411201063e-01
5.376641093996927520e+04 2.525853059446468318e+00
5.376641093998201541e+04 2.715721650925793984e+00
5.376642344262811093e+04 5.458858950726989123e-01
5.376642344263529230e+04 5.453263440006025364e-01
5.376642344263653649e+04 -2.321197916137840433e-02
5.376642344263903215e+04 -5.195768225009674834e-01
5.376642344264424901e+04 2.497901331275760306e+00
5.376642344265057909e+04 9.244292320191295487e-02
5.376642344265257270e+04 -8.652330409299394676e-01
5.376642344266276632e+04 3.159307915449664605e+00
5.376642344267548469e+04 1.777673016707485676e+00
5.376939958769355871e+04 -9.901108954425872355e-01
5.376939958769461373e+04 7.249475744464967120e-01
5.376939958770316298e+04 2.564828084089517124e-01
5.376939958770640806e+04 1.631773258842774466e+00
5.376939958771179226e+04 -2.317642401467263358e-01
5.376939958771457896e+04 -1.009574664273526601e+00
5.376939958772052341e+04 2.387795625069925265e+00
5.376939958772288082e+04 1.772607959450544390e+00
5.376939958772925456e+04 -1.676800579597917729e+00
5.376939958773114631e+04 -4.982550837244028585e+00
5.376939958773815306e+04 2.354937064420789650e+00
5.376939958773957187e+04 -3.361187042258060309e+00
5.377039018805646629e+04 -3.572935112721009165e+00
5.377039018806369859e+04 5.304767193956959614e-01
5.377039018806489912e+04 -3.979969779520487805e+00
5.377039018806737295e+04 -5.978712034485344162e+00
5.377039018807266257e+04 2.845675235304562456e+00
5.377039018807896355e+04 -1.743538837606825265e+00
5.377039018808104447e+04 4.671292388562583220e+00
5.377039018809112895e+04 1.708661580759529286e-01
5.377039018810386915e+04 1.664327918893376279e-01
5.377139131042442750e+04 7.501687825573101875e+00
5.377139131042538793e+04 3.347338737224231919e-01
5.377139131043394445e+04 6.989241453554558836e-01
5.377139131043710950e+04 -4.580569347052774631e+00
5.377139131044254464e+04 -1.600116257287647725e+00
5.377139131044531678e+04 -4.255048358740679326e+00
5.377139131045132672e+04 5.090797467856770453e+00
5.377139131045366230e+04 2.561712706757430791e+00
5.377139131046009425e+04 4.178419315129057843e+00
5.377139131046198600e+04 1.268891475871767760e+00
5.377139131046887633e+04 -1.743456025002903864e+00
5.377139131047042611e+04 3.427622295066972580e+00
5.377140173111458716e+04 -1.265280895744645528e+00
5.377140173111562035e+04 -2.220116062127496015e+00
5.377140173112411139e+04 -7.462661966821261039e+00
5.377140173112740740e+04 -1.381882730691684769e+00
5.377140173113282799e+04 1.260213238301417793e-01
5.377140173113561468e+04 -7.579402429130647212e-01
