# MJD residual_seconds
5.362893353294577537e+04 6.661865699750200874e-06
5.362893353294624831e+04 6.604746538689449767e-06
5.362893353294672124e+04 6.429030633679609511e-06
5.362893353294720146e+04 6.786778750332236994e-06
5.362893353294767439e+04 6.446030181315722947e-06
5.362893353294816188e+04 6.393669531586261986e-06
5.362893353294864210e+04 6.569010884720294168e-06
5.362893353294912959e+04 6.569368411510837969e-06
5.362893353294961707e+04 6.266228255842519888e-06
5.362894395317344606e+04 6.609607200532334867e-06
5.362894395317390445e+04 6.652059250638142343e-06
5.362894395317436283e+04 6.658332994557929903e-06
5.362894395317482122e+04 6.665151541206165723e-06
5.362894395317528688e+04 6.664095985919796900e-06
5.362894395317574526e+04 6.246785608471032002e-06
5.362894395317621820e+04 6.600941432132954665e-06
5.362894395317669114e+04 6.562754165885781893e-06
5.362894395317716408e+04 6.678439620254725277e-06
5.362894395317763701e+04 6.562898879110525247e-06
5.362894395317810995e+04 6.433227317197198135e-06
5.362894395317859016e+04 6.495496566550312581e-06
5.362894395317907038e+04 6.491333933203262668e-06
5.362894395317955787e+04 6.410686104307649860e-06
5.362894395318004536e+04 6.414729562057852404e-06
5.362894395318053284e+04 6.334115783332768142e-06
5.368673793898090662e+04 2.905453348890947088e-06
5.368673793898296572e+04 2.996333254031075669e-06
5.368673793898503936e+04 2.838383025492757126e-06
5.368673793898712756e+04 2.658010759661528884e-06
5.368673793898923759e+04 2.919907646280225375e-06
5.368673793899136945e+04 2.876978893786626083e-06
5.368673793899351585e+04 2.894293405500284845e-06
5.368673793899567681e+04 2.917677360110619608e-06
5.368673793899785960e+04 3.069787984403328562e-06
5.368673793900006422e+04 2.908585964579553811e-06
5.368673793900228338e+04 2.901886593528103525e-06
5.368673793900451710e+04 2.897145107282032759e-06
5.368673793900677992e+04 2.941120902519378902e-06
5.368673793900905730e+04 2.971008439700625660e-06
5.368673793901135650e+04 2.925551462045297096e-06
5.368673793901367026e+04 2.944296080921146307e-06
5.368674839829569100e+04 2.779629456246117865e-06
5.368674839829775010e+04 2.457072190831190329e-06
5.368674839829983102e+04 3.013400902008409251e-06
5.368674839830191922e+04 2.858830152895027693e-06
5.368674839830402925e+04 2.825452473234626177e-06
5.368674839830615383e+04 2.783162161438432882e-06
5.368674839830830024e+04 2.654682355492388529e-06
5.368674839831046847e+04 2.750525072987022576e-06
5.368674839831265126e+04 2.716645153311328400e-06
5.368674839831484860e+04 2.714448917312250755e-06
5.368674839831706777e+04 2.687804658873827646e-06
5.368674839831930876e+04 2.851603004200388337e-06
5.368674839832157159e+04 2.832364657851878602e-06
5.368674839832384168e+04 2.735508947784026250e-06
5.368674839832614089e+04 2.742259394091268930e-06
5.368674839832846192e+04 2.659415329195827582e-06
5.368676683160375978e+04 3.232843276756234041e-06
5.368676683160421089e+04 2.624519955182243897e-06
5.368676683160466928e+04 2.855107710000136589e-06
5.368676683160514222e+04 3.489249573377237690e-06
5.368676683160557877e+04 1.709013020186869098e-06
5.368676683160605899e+04 2.901543630058154913e-06
5.368676683160653920e+04 3.671835100292808274e-06
5.368676683160700486e+04 3.468095904936508694e-06
5.368676683160747052e+04 2.536942916583363497e-06
5.368676683160796529e+04 4.430268598640968017e-06
5.368676683160840184e+04 1.095548122863100318e-06
5.368676683160889661e+04 2.384866342461181817e-06
5.368676683160939137e+04 3.565053765515945837e-06
5.368676683160986431e+04 2.669253366713845523e-06
5.368676683161035180e+04 2.259050962358979648e-06
5.368676683161086839e+04 5.049453924613497323e-06
5.368677725183044822e+04 2.881734943353300507e-06
5.368677725183089933e+04 2.514359140980448710e-06
5.368677725183136499e+04 3.127415436257878330e-06
5.368677725183181610e+04 1.899600337176601970e-06
5.368677725183228904e+04 2.798746165233112840e-06
5.368677725183274015e+04 1.952207850642881508e-06
5.368677725183322036e+04 2.586817903864747995e-06
5.368677725183368602e+04 2.525187095208459327e-06
5.368677725183417351e+04 3.757139290008929002e-06
5.368677725183463190e+04 2.281353824055043673e-06
5.368677725183510483e+04 1.729477172674402032e-06
5.368677725183559232e+04 2.398443847959359794e-06
5.368677725183607254e+04 2.395328257356017344e-06
5.368677725183654547e+04 1.242627834460250527e-06
5.368677725183704752e+04 2.989673983928126299e-06
5.368677725183752773e+04 2.154670164604368671e-06
5.371567146905165282e+04 8.140881815482580349e-08
5.371567146905371192e+04 2.165965076955826379e-07
5.371567146905574191e+04 -3.941789080639488156e-06
5.371567146905785194e+04 -1.903486285005358943e-06
5.371567146905997652e+04 -1.025843139633403070e-06
5.371567146906210837e+04 -4.619893407667920448e-07
5.371567146906424023e+04 -1.912611730706995638e-06
5.371567146906638663e+04 -3.078217168238432617e-06
5.371567146906838025e+04 -1.934972108343449310e-05
5.371567146907089773e+04 7.958226253968916474e-06
5.371567146907302231e+04 -7.167612292036229406e-07
5.371567146907525603e+04 -1.177042921865184723e-06
5.371567146907751157e+04 -1.183163440017681706e-06
5.371567146907958522e+04 -1.879575885910641153e-05
5.371567146908207360e+04 -2.672092271802441983e-06
5.371567146908440918e+04 -7.550761835908118134e-07
5.371568192836643721e+04 -8.320891567836365453e-07
5.371568192836850358e+04 -2.128187053818988961e-07
5.371568192837061360e+04 2.765439047691336542e-06
5.371568192837283277e+04 1.363967597004358737e-05
5.371568192837475362e+04 -2.659085106660561666e-06
5.371568192837687820e+04 -3.130245828805978023e-06
5.371568192837901734e+04 -3.204790164635485733e-06
5.371568192838120740e+04 -1.323884282269321208e-06
5.371568192838780669e+04 -1.845277518486900068e-06
5.371568192839003314e+04 -2.916070256181744909e-06
5.371568192839212861e+04 -1.665611424343687563e-05
5.371568192839928815e+04 6.117806024361145987e-06
5.371570253753751604e+04 -1.872494579046484739e-06
5.371570253753798170e+04 -1.352991127293235507e-06
5.371570253753844736e+04 -6.250410441071717626e-07
5.371570253753891302e+04 -3.746278892482883514e-08
5.371570253753937868e+04 1.671103238600680755e-08
5.371570253753982979e+04 -9.248953583237313598e-07
5.371570253754028818e+04 -1.993806824096880298e-06
5.371570253754077567e+04 -5.482408844801510767e-07
5.371570253754124133e+04 -6.370352166758340915e-07
5.371570253754174337e+04 1.210578111456100569e-06
5.371570253754218720e+04 -1.232989813808186840e-06
5.371570253754267469e+04 -5.864026130999619174e-07
5.371570253754316218e+04 -1.935062079142895823e-07
5.371570253754364967e+04 -3.240460491779075257e-07
5.371570253754412988e+04 -7.925678831073674671e-07
5.371570253754463192e+04 5.662382220027564859e-07
5.371571295776587067e+04 -1.210142149383568675e-06
5.371571295776632905e+04 -9.420396191848301904e-07
5.371571295776678016e+04 -1.443419867674288609e-06
5.371571295776723855e+04 -1.942433629312016596e-06
5.371571295776772604e+04 -3.151252162497437474e-08
5.371571295776816260e+04 -2.121443888322947926e-06
5.371571295776867191e+04 1.587666724973921927e-06
5.371571295776910847e+04 -1.831012958800148740e-06
5.371571295776955958e+04 -3.273471820356155259e-06
5.371571295777006890e+04 -1.599753024863543392e-07
